Title, Company, Location, Summary, URL, Day_posted
Junior Web Developer,Foxhole QA,remote,  Position is remote but bonus if you are in the greater of Austin  TX or the Texas state! Proven working experience in web programming.,,Active 2 days ago
Senior Software Engineer (Ruby on Rails),Caption Health,remote,  You are a jack of many trades that might be as comfortable at a Linux command line as you are in the Chrome console  vim  or your favorite IDE  know when to…,,Active 8 days ago
Sr. Ruby on Rails Developer,All In Solutions,remote,  Traditionally these are no more than 40 hour work weeks with almost no nights or weekends plus a lot of flexibility. Good knowledge of relational databases.,,Active 3 days ago
Senior Ruby on Rails Developer,ShowMojo,remote,  Design  build  and maintain efficient  reusable  and reliable Ruby code. Ensure the best possible performance  quality  and responsiveness of the applications.,,Active 8 days ago
Software Engineering Manager (Ruby on Rails),Caption Health,remote,  As our co-founders transitioned from military to civilian life  they encountered barriers and inefficiencies navigating the most basic health and social…,,Active 8 days ago
Ruby on Rails Developer,Zuree Telecom LLC,remote,  We are looking someone expert in Ruby on Rails. Experience in web technologies: for example  Java script  Html. Nice to have ReactJS experience.,,Active 6 days ago
Sr Ruby on Rails Architect / Developer,Adept Consultants,remote,  Visa Type: Any Visa Except OPT & CPT*. Job Types: Full-time  Contract. Ruby on Rails Architect: 10 years (Preferred).,,Active 2 days ago
Senior DevOps Engineer,PWNHealth,remote,  PWNHealth (PWN) is a national clinician network working to improve early detection and prevention of disease using advanced diagnostics and telehealth.,,Active 2 days ago
Senior Ruby on Rails Developer,ShowMojo,remote,  Design  build  and maintain efficient  reusable  and reliable Ruby code. Ensure the best possible performance  quality  and responsiveness of the applications.,,Active 8 days ago
Full Stack Developer,Qualitech HR Solutions,remote,  Create clean  maintainable  and scalable  and well-tested code. Create elegant web-based user interfaces and reporting dashboards.,,Active 7 days ago
Digital Forensic Investigator,Geographic Solutions Inc,remote,  This position will identify  investigate  mitigate and manage risks by developing key strategies  designing comprehensive security and investigative programs …,,Active 9 days ago
Senior Back End Software Engineer,Medely Inc.,remote,  As a senior member of the engineering team you will collaborate with cross-functional teams in the company to ensure end-to-end strategy and execution.,,Active 11 days ago
Backend Software Engineer,Medely Inc.,remote,  As a key member of the engineering team and reporting to the Director of Engineering  you will cross-functionality collaborate with teams to ensure end-to-end…,,Active 11 days ago
Ruby on Rails Developer,Celerens,remote,  Ruby on rails  React.js  REST APIs. Work closely with the client's product and engineering team to build a next generation secure video conferencing platform …,,Active 2 days ago
Ruby on Rails Developer,IMG SYSTEMS,remote,  Minimum 5 + Years on Ruby Rails. Have Solid Experience working with source Control. Have Solid Experience on Ruby on Rails.,,Active 25 days ago
Ruby On Rails Developer,Gate Insight Inc,remote,  We’re looking for someone with a passion for programming and for writing beautiful code. BS/MS degree in Computer Science  Engineering or a related subject.,,Active 12 days ago
Software Engineer,fastCode  Inc.,remote,  Software Engineer responsibilities include gathering user requirements  defining system functionality and writing code in various languages  like Java  Ruby on…,,Active 5 days ago
Ruby on Rails Engineer Lead,LoadUp,remote,  Driving the core development of our order management platform. Help improve code quality through writing unit tests  automation and performing code reviews.,,Active 2 days ago
Senior Frontend Developer,PrepDD,remote,  We are looking for a Senior Developer to drive product development as we scale relationships with our enterprise customers. Empathy. Empathy with our customers.,,Active 2 days ago
Web Developer,Pedigrine Inc,remote,  Write well designed  testable  efficient code by using best software development practices. Create website layout/user interface by using standard HTML/CSS…,,Active 2 days ago
Senior Software Engineer,Data Surge,remote,  Looking for a senior full-stack developer who is familiar with React  Spring Boot  Ruby on Rails and/or ASP. Must be a US Citizen due to client requirements.*.,,Active 6 days ago
Software Engineer - Professional Services,Insurance Technologies,remote,  100% employer paid medical  dental  vision  life insurance  short-term disability  long-term disability insurance and parking.,,Active 2 days ago
Senior Full Stack Engineer,Interfolio,remote,  Interfolio operates the first holistic faculty information system to support the full lifecycle of faculty work  from job seeking to review  tenure  sabbatical …,,Active 2 days ago
Senior Mobile Developer,Wildnote,remote,  You’re someone who is able to roll up their sleeves to maintain our codebase on both platforms and take the lead role in testing and implementing high-quality…,,Active 3 days ago
Ruby on Rails Developer,Nitor Infotech,remote,  1)5+ years of development experience building apps using Ruby on Rails services. 2)5+ years of experience using Gitlab/Github - MANDATORY  Linux – MANDATORY  …,,Active 2 days ago
REMOTE Web Developer,Aligning Talent Consultants  LLC,remote,  This is a 100% REMOTE Opportunity. With plans to go public  have the BEST culture on the PLANET  offer Lucrative Salaries  EQUITY  we pay 100% Benefits  401k …,,Active 2 days ago
Ruby on Rails Developer(100% Remote),Vb Technologies,remote,  Job Title Remote Ruby on Rails Developer. Need 6 Hours Pair Programming. This is a Direct Project start  client interview is not needed*.,,Active 8 days ago
Full Stack Developer,Eferral  Inc.,remote,  Seeking an experienced Full Stack Developer to help our team complete our app 2.0 enhancement project. We estimate 5-10% of additional app development required…,,Active 2 days ago
Senior Ruby on Rails Engineer,Mt. Tam Innovations,remote,  Mt. Tam Innovations is building a software platform to be used in business structure and organization. The founding members of the company have many years both…,,Active 2 days ago
Software Engineer - SaaS & Consulting,Bellwood Labs,remote,  Bellwood Labs is a dynamic Product Development Consultancy (with our own Marketing Dashboard product  Converge)  founded in Atlanta and funded by Mark Cuban …,,Active 14 days ago
Senior Software Engineer,Zearn,remote,  Zearn is looking for a Senior Software Engineer to join our team. At Zearn  you’ll have the opportunity to work on the technology solutions that power our top…,,Active 10 days ago
Lead Software Engineer,Wear Technologies LLC.,remote,  Wear wants to disrupt the long sleeping retail industry and bring back the days of window shopping but now right from the shopper's couch. Some of our asks are.,,Active 6 days ago
Senior Software Engineer,Groove,remote,  Groove is the leading sales engagement platform for enterprises using Salesforce  specializing in ease-of-use  ease-of-administration  and cross-team…,,Active 18 days ago
Full Stack Engineer,A. Newton Solutions,remote,  We are currently in search of a Full Stack Engineer with a minimum of 5 years of real world experience. If you do not have experience developing an enterprise…,,Active 2 days ago
Senior Full Stack Developer,KJ Consulting LLC,remote,  Senior Full Stack Engineer Javascript & Ruby (Permanent position). \*REPORTS TO\* Senior VP of Engineering. It is a distributed team.,,Active 3 days ago
Senior Software Engineer,Groove,remote,  Built for the needs of full-cycle sellers  Groove automates non-sales activities so that pre- and post-sales reps can spend more time building relationships and…,,Active 18 days ago
Software Engineer - SaaS & Consulting,Bellwood Labs,remote,  If you are interested in the mix of building a scalable Software-as-a-Service (SAAS) product and consulting for clients (travel typically only needed for team…,,Active 14 days ago
Senior Software Engineer,Zearn,remote,  Leading the development of long-term projects  which may include user-facing features or back-end system solutions. Software Engineering: 5 years (Required).,,Active 10 days ago
Mid Level Full Stack Developer,Aquifer  Inc.,remote,  We seek a motivated and productive Full Stack Mid-Level Developer to help build the next generation of our proprietary medical education platform.,,Active 2 days ago
Contract Ruby Developer,Church Initiative,remote,  This is an ongoing  part-time contract position of between 15 and 30 hours per week (depending on your capacity). Eligible to work in the United States.,,Active 2 days ago
Software Engineer (Full Stack),Avela  Inc.,remote,  As our 2nd developer and 3rd FTE hire  you'll have a major role in shaping our vision  strategy  culture  product  and code.*. Ruby on Rails JSON API.,,Active 2 days ago
Full-Stack Shopify Developer,MilkRun,remote,  MilkRun's Product team is looking for an experienced Shopify Plus full-stack developer to help design  develop  and manage builds to our storefront website as…,,Active 10 days ago
Senior Software Engineer,Seclytics,remote,  We are looking for a software engineer with attention to detail  extensive problem-solving skills  and a deep passion for learning and building something great.,,Active 25 days ago
Senior Ruby on Rails Developer,Rancho Physical Therapy,remote,  You will be responsible for developing and maintaining the server-side logic for the rails application  testing performance  troubleshooting  and integrating…,,Active 2 days ago
Senior Software Engineer,Good Call NYC,remote,  You've worked extensively on several production rails and node apps  and are absolutely comfortable working across the whole stack. Manage Good Call's website.,,Active 3 days ago
Ruby Full Stack Developer,The Arc of the United States,remote,  The Arc’s mission is to promote and protect the human rights of people with IDD and actively support their full inclusion and participation in the community…,,Active 10 days ago
Software Development Engineer- Remote in US,Pike13,remote,  Develop new user-facing features. Build reusable code and libraries for future use. Ensure the technical feasibility of UI/UX designs.,,Active 2 days ago
C++ Developer,Foldit,remote,  Entry level developer position on the Foldit Project (www.fold.it)  focused on extending the Foldit framework to incorporate experimental data into the human…,,Active 5 days ago
Senior Front End Developer,WeaveUp  Inc.,remote,  Our team works with top-tier clients in various verticals  including apparel  interior design  and major retail. Experience with Vue.js or similar frameworks.,,Active 3 days ago
Software Engineer,Noteflight  LLC,remote,  Noteflight is seeking a full-stack web developer to join our team and collaboratively design and build amazing software for musicians.*.,,Active 2 days ago
Full-Stack Engineer (Ruby on Rails),RemoteLock,remote,  RemoteLock™ is looking for talented full-stack engineers to help us grow our enterprise-class product line of IoT access control devices and web & mobile…,,Active 2 days ago
Web Developer,Humanity HR Consulting,remote,  Understand concepts like mesh manipulation  shaders  manifold  etc. Unity developer including C# scripting. Cloud architecture (AWS EC2  Serverless  containers …,,Active 2 days ago
Ruby on Rails Developer,CoLab Cooperative,remote,  ’ The work also includes leveraging new technologies such as AI and machine learning as service type technologies for custom application implementation.,,Active 10 days ago
Web Developer,Kitewire Innovations,remote,  Write well designed  testable  efficient code by using best software development practices. Create website layout/user interface by using standard HTML/CSS…,,Active 4 days ago
Full Stack Ruby on Rails Developer,vMOX,remote,  VMOX is seeking a Software Developer who will be responsible for using coding languages to compose  compile and test programs and applications to provide…,,Active 3 days ago
Senior Site Reliability Engineer,FINALSITE,remote,  Schools worldwide value Finalsite’s marketing and communication platform as an indispensable part of their daily success.,,Active 2 days ago
Senior Software Engineer,Kaplan,remote,  Participate in the evolution of team best practices  standards and policies. Stay current with the periodic Salesforce releases and leverage the updates…,https://www.indeed.com/viewjob?jk=67fefa38e2828b6f&fccid=4ffdd90de5b0ef8f&vjs=3,1 day ago
Software Engineer II,Western Governors University,remote,  The Software Engineer II is responsible for the research  design  development  analysis  testing  and implementation of software operating or application…,https://www.indeed.com/viewjob?jk=7c9c643cf9924572&fccid=6a2a37a1ed914f66&vjs=3,1 day ago
Full Stack Engineer,VIS Holdings Inc,remote,  Type: Full Time or Contract. In this position the developer will work directly with the Founder/CEO  the Creative Director and brand team to improve user…,https://www.indeed.com/viewjob?jk=7d8767b3cbd94e6e&fccid=f759efb05af1ff3e&vjs=3,1 day ago
Software Engineer (Full Stack),Instructure,remote,  Much of our work is open source  including our primary product (Canvas). Experience (and interest) in different languages and frameworks.,https://www.indeed.com/viewjob?jk=2a9519346e026e79&fccid=9e4823fe31100df5&vjs=3,1 day ago
Backend Software Engineer,Jobscan,remote,  Work in agile sprints building new features and enhancing existing areas of our tools using PHP  Java  Python  MySQL  and AWS. ‣ 401(k) + employer match.,https://www.indeed.com/viewjob?jk=9c916a375b41a64f&fccid=d7bf3dbc3a7f112e&vjs=3,1 day ago
Senior Software Engineer (Front End),Instructure,remote,  Much of our work is open source  including our primary product (Canvas). We use JavaScript  React  Ruby  Rails  PostgreSQL  Linux  and our platform runs on AWS.,https://www.indeed.com/viewjob?jk=f774f922869563fa&fccid=9e4823fe31100df5&vjs=3,1 day ago
Senior Software Developer - Remote in the USA,Aces Intl Inc.,remote,  Senior Software Developer will be developing Web Applications built with Ruby on Rails (RoR)  JavaScript  React  Node  TypeScript  HTML  CSS or SASS  SQL and…,,1 day ago
Lead Front End Software Engineer,KUDO,remote,  It interfaces with a Ruby on Rails backend  hosted on the AWS platform. The KUDO Marketplace matches the demand for interpretation services with the supply of…,,1 day ago
Software Engineer  Backend  All Levels (USA REMOTE),Fooda,remote,  Our tightly-knit Product  Engineering & Data Science teams turn this belief into reality by dreaming up and developing meaningful technology for lunch eaters…,https://www.indeed.com/viewjob?jk=3bc1bee661a55476&fccid=9d5796b859dfc328&vjs=3,1 day ago
Senior Backend Engineer  Ruby on Rails  USA,Surprise.com,remote,  Designing an easy-to-maintain  easy-to-extend back end infrastructure; A BS or higher in a technical field (Computer Science  Math  Physics  etc.);,https://www.indeed.com/viewjob?jk=7c89bf8340358cfe&fccid=dbca99e8bd13c8cc&vjs=3,1 day ago
Senior Software Engineer  Backend (USA REMOTE),Fooda,remote,  Our tightly-knit Product  Engineering & Data Science teams turn this belief into reality by dreaming up and developing meaningful technology for lunch eaters…,https://www.indeed.com/viewjob?jk=235868f35d8bd294&fccid=9d5796b859dfc328&vjs=3,1 day ago
Full Stack Engineer,VIS Holdings Inc,remote,  Type: Full Time or Contract. In this position the developer will work directly with the Founder/CEO  the Creative Director and brand team to improve user…,https://www.indeed.com/viewjob?jk=7d8767b3cbd94e6e&fccid=f759efb05af1ff3e&vjs=3,1 day ago
Director / VP Engineering,Brilliant,remote,  Ensuring continued  reliable operation of technical and product infrastructure. Security and integrity of technology infrastructure and data.,https://www.indeed.com/viewjob?jk=57dbc5454a03c144&fccid=53be5245a86e3d0d&vjs=3,1 day ago
Senior Ruby on Rails Developer,Brainstorm Labs,remote,  Brainstorm Labs is looking for a Senior Ruby on Rails developer to assist in development and implementation of applications on a multi-year Federal government…,https://www.indeed.com/viewjob?jk=ab307f84b194f2ef&fccid=b244961511914b0f&vjs=3,2 days ago
Ruby on Rails Developer,Cognizance Technologies,remote,  Enjoy above Industry Healthcare Benefits  Remote Working Options  Paid Time Off  Training/Certification opportunities  Healthcare Savings Account & Flexible…,,2 days ago
Ruby on Rails Developer,Planet Argon,remote,  So  if you're the type of developer that really enjoys building shiny new things or pitching entire app rewrites  this probably isn't the position for you.,https://www.indeed.com/viewjob?jk=88a74b2dccabd19d&fccid=281fd257501a50db&vjs=3,2 days ago
Senior Ruby on Rails Engineer,Touch of Modern,remote,  This role can be fully remote in the United States. Rails  MySQL  Memcached  Redis  Docker  Stimulus  React  Swift  Java  AWS.,,2 days ago
Senior Full Stack Engineer  Mission Control (Fully Remote),Kubos,remote,  Our goals are to expand and extend our capability in spacecraft scheduling  mission planning  tasking  telemetry processing  visualization  and many other…,https://www.indeed.com/viewjob?jk=74f2165bef956d63&fccid=e41c88bfdfac8a48&vjs=3,2 days ago
Senior Software Engineer (healthfinch),Health Catalyst,remote,  Data: integrate data in a flexible  open & scalable platform to power healthcare’s digital transformation. ...And you'll go to bed each night with the comfort…,,3 days ago
Software Engineer,OMBULABS SOFTWARE BOUTIQUE,remote,  Write code that is simple  easy to maintain and clear. Design architectures  services and solutions. Collaborate with an energetic and diverse team.,https://www.indeed.com/viewjob?jk=f3f4282412e09c99&fccid=574d0752e63b42e2&vjs=3,3 days ago
Software Engineer,OMBULABS SOFTWARE BOUTIQUE,remote,  Write code that is simple  easy to maintain and clear. Design architectures  services and solutions. Collaborate with an energetic and diverse team.,https://www.indeed.com/viewjob?jk=f3f4282412e09c99&fccid=574d0752e63b42e2&vjs=3,3 days ago
Senior Software Engineer,Filebase,remote,  Filebase is seeking an experienced senior-level Software Engineer with solid experience developing high-performance APIs.,https://www.indeed.com/viewjob?jk=90d8937b1074a9de&fccid=324814d898cc0d73&vjs=3,3 days ago
Senior Frontend Engineer,GetBridge,remote,  We have standardized on ReactJS for all frontend apps. An understanding of modern frontend architectures like app shell and micro-frontend.,https://www.indeed.com/viewjob?jk=8670c4c22c07e1b0&fccid=4090603f7c3b8e1f&vjs=3,4 days ago
Senior Software Engineer,SimpleNexus,remote,  The ideal candidate would embrace the challenge of addressing time sensitive market demands and delivering customer value  while also focusing on long term…,https://www.indeed.com/viewjob?jk=80969ee6a2d9fc50&fccid=2114e7311cd1fb38&vjs=3,4 days ago
Senior Software Engineer - Ruby  Scala  Kotlin,Binary Star,remote,  In this role  you will work with the product development team to evolve their technology  from idea to production  using languages such as Ruby  Scala and…,https://www.indeed.com/viewjob?jk=ac834a358d77a367&fccid=70fb835f93902ee9&vjs=3,5 days ago
Ruby On Rails Developer (Remote),Litmus,remote,  We're looking for a remote Ruby on Rails developer—already eligible to work out of the US or UK (with EST / UTC time zone overlap) to help expand our…,,6 days ago
Senior Ruby on Rails Developer,Piper Companies,remote,  This is a full-time 100% remote position during and after Covid. We are looking for a full stack Ruby on Rails developer familiar with React to build our API.,https://www.indeed.com/viewjob?jk=b44b8e35c5bdba2a&fccid=fc68da685e8aa986&vjs=3,6 days ago
- Site Reliability Engineer,Globo,remote,  That language could be Mandarin or English  Python or Ruby. Your passion for problem-solving will help you play a strategic role in our revolution of the…,https://www.indeed.com/viewjob?jk=bcef6c2bff75e33c&fccid=69cd436cef8c3dbe&vjs=3,6 days ago
Ruby on Rails Developer,Liberty IT Solutions  LLC,remote,  We need a creative Ruby on Rails engineer with experience developing high-quality products on schedule  strong communication and collaboration skills  and a…,https://www.indeed.com/viewjob?jk=52eb2bd1e0683f96&fccid=fff574e36b053186&vjs=3,6 days ago
Senior Software Engineer,Navigating Cancer,remote,  We enable oncology clinics to provide personalized  efficient care to every patient by providing relevant educational materials  giving the whole care team…,https://www.indeed.com/viewjob?jk=3a1421de064ad8dc&fccid=73035bd99401b309&vjs=3,6 days ago
Senior Integrations Engineer  Tech Lead,Healthify,remote,  Provide technical leadership to our Integrations team. Plan and build RESTful APIs and integrations with EHRs  HIEs  and Case Management Systems.,https://www.indeed.com/viewjob?jk=bca4d695953c62ee&fccid=1414970f69888801&vjs=3,6 days ago
Senior Full Stack Developer,CARMA International,remote,  We provide media monitoring and analysis across all types of media including print  online  social and broadcast  allowing our clients to make well-informed…,https://www.indeed.com/viewjob?jk=01fd669f613d2766&fccid=666d7aacb955db90&vjs=3,7 days ago
Senior Software Engineer (Remote),XSELL Technologies,remote,  In this role  you will be working closely with management and technical leaders to execute and deliver IT roadmap requirements related to delivering new and…,https://www.indeed.com/viewjob?jk=2972219a47bae612&fccid=21e825c429eeb178&vjs=3,7 days ago
Senior Software Engineer  Product (Remote),Fleetio,remote,  We are looking for a product-minded  team-oriented software engineer with a passion and experience in solving business problems with good design  delightful UX …,https://www.indeed.com/viewjob?jk=27fcc6a6731a7e11&fccid=1d775358990bf56a&vjs=3,7 days ago
Senior Software Engineer  Android (Remote),Fleetio,remote,  Mobile apps are a huge part of our product strategy (our customers are managing mobile assets  after all). Craft and continuously ship well-tested  maintainable…,https://www.indeed.com/viewjob?jk=a0c2733ec4e2c83b&fccid=1d775358990bf56a&vjs=3,7 days ago
Senior Software Engineer  iOS (Remote),Fleetio,remote,  Craft and continuously ship well-tested  maintainable  and efficient Swift code. Collaborate with product and design to create  design  and incrementally refine…,https://www.indeed.com/viewjob?jk=4a721f3a7550cf42&fccid=1d775358990bf56a&vjs=3,7 days ago
Software Engineer,Tilled  Inc.,remote,  Your work will have a tremendous impact on every aspect of Tilled’s business success. You must sit in a US-time zone.,https://www.indeed.com/viewjob?jk=08e35876e681e458&fccid=dd616958bd9ddc12&vjs=3,8 days ago
Full Stack Software Engineer,Cipher Skin  Inc.,remote,  You’re responsible for what you’re building  and you have some creative control over the direction you take. Ship code to production frequently  often daily.,https://www.indeed.com/viewjob?jk=e4fd0af945445c7b&fccid=b0ee5489243e9da2&vjs=3,8 days ago
Software Engineer - Rundeck,PagerDuty,remote,  From day one  you’ll be designing  coding  testing and shipping front-end interfaces  APIs  or backend applications and microservices that ensure we deliver…,https://www.indeed.com/viewjob?jk=a1f2178f719abacd&fccid=a4813de415be0594&vjs=3,9 days ago
Software Engineer,Fond,remote,  Fond is a SaaS platform that seamlessly consolidates employee rewards and recognition processes into one easy-to-use solution.,https://www.indeed.com/viewjob?jk=9f0a33a0e325349f&fccid=fe540f9c32d6b0f3&vjs=3,9 days ago
Sr Software Engineer,Intone Networks,remote,  Minimum Experience: BS/MS Degree in Computer Science or Related Field 5+ years of industry experience building SaaS products in Ruby and Rails with SQL and/or…,https://www.indeed.com/viewjob?jk=21ff464abff370bb&fccid=3ed0572c448b2368&vjs=3,9 days ago
Senior Backend Engineer,RxVantage,remote,  Ability to understand business problems and advance the architecture to solve those business problems at scale. Experience building GraphQL or REST APIs.,https://www.indeed.com/viewjob?jk=36c62d4eafb325d8&fccid=a556aef7b10629b7&vjs=3,9 days ago
Senior Software Engineer - Planning & Tracking,Github,remote,  Enhance the project management experience at GitHub by working closely with a community of engineers and designers with a distributed  diverse and passionate…,https://www.indeed.com/viewjob?jk=907a3ad90033ca22&fccid=c594c442f5397e7b&vjs=3,10 days ago
Senior Software Engineer (Patient Team),CirrusMD,remote,  A reputation for reliably delivering well considered  well tested and performant code product(s). Contributions to our evolving development and testing…,https://www.indeed.com/viewjob?jk=7ea008c39d9829d1&fccid=eaffc346372bd744&vjs=3,10 days ago
Senior Fullstack Software Engineer (Remote US/EU),Groove,remote,  Minimum 5 years experience in fullstack development. In-depth knowledge of Ruby and Rails  as well as Javascript (in-browser and Node).,https://www.indeed.com/viewjob?jk=1bd2faea3009e461&fccid=e378a4d088c7550e&vjs=3,10 days ago
Senior Hardware Integrations Engineer,Very,remote,  For this role we’re looking for polymath engineers who are just as comfortable working in MCAD as they are with ECAD. PlatformIO for embedded C/C++ projects.,https://www.indeed.com/viewjob?jk=6a21b98cf0debb52&fccid=9cf46a262840e26a&vjs=3,11 days ago
Senior Software Engineer - Ruby on Rails,SureSwift Capital,remote,  Back in Stock is a Shopify app that prevents businesses from losing sales when products run out of stock. The app enables businesses to have customers sign up…,https://www.indeed.com/viewjob?jk=6cc0d9020610a0a7&fccid=c4102b0ee9139221&vjs=3,13 days ago
Senior UI Developer,Blaze Solutions Inc.,remote,  BLAZE’s best in class ERP (enterprise resource planning) software enables companies of any size to streamline their entire business processes with legal…,https://www.indeed.com/viewjob?jk=1084fc0536b5b697&fccid=bad94b8daad2e9b7&vjs=3,14 days ago
DevOps engineer,Hubstaff,remote,  Create tooling to improve the developers’ experience. Implement monitoring for web  mobile  and desktop apps. Migration from CircleCI to AWS CodePipeline.,https://www.indeed.com/viewjob?jk=7cc7b2eaed5740de&fccid=b161da7e367e70be&vjs=3,14 days ago
Senior UI Developer,Blaze Solutions Inc.,remote,  BLAZE’s best in class ERP (enterprise resource planning) software enables companies of any size to streamline their entire business processes with legal…,https://www.indeed.com/viewjob?jk=1084fc0536b5b697&fccid=bad94b8daad2e9b7&vjs=3,14 days ago
DevOps engineer,Hubstaff,remote,  Create tooling to improve the developers’ experience. Implement monitoring for web  mobile  and desktop apps. Migration from CircleCI to AWS CodePipeline.,https://www.indeed.com/viewjob?jk=7cc7b2eaed5740de&fccid=b161da7e367e70be&vjs=3,14 days ago
Software Engineer II,Upland Software,remote,  A successful candidate will be able to quickly scale up into a SPA front-end and Ruby on Rails back end. Work with support team to fix any bugs that arise in…,,15 days ago
